state,district,month,theme,visits_per_1k,funds_on_time,data_quality,female_pct,training_sessions,outreach_pre_monsoon,monsoon,beneficiaries,age0_5,age6_17,age18_35,age36_plus,outcome_score,dropout_rate,nps,data_issue_flag
Andhra Pradesh,Andhra-Dist-01,2023-01-01,Health,4.07,0.954,0.786,0.451,4,0,0,300,54,40,98,108,100.0,0.01,54.1,OK
Andhra Pradesh,Andhra-Dist-01,2023-02-01,Livelihoods,4.68,0.906,0.858,0.502,4,0,0,296,22,47,117,110,100.0,0.01,33.6,OK
Andhra Pradesh,Andhra-Dist-01,2023-04-01,Health,5.56,0.728,0.719,0.558,9,1,0,294,41,47,109,97,100.0,0.01,26.0,OK
Andhra Pradesh,Andhra-Dist-01,2023-05-01,Health,4.94,0.675,0.821,0.537,6,1,0,314,51,52,108,103,100.0,0.01,29.8,OK
Andhra Pradesh,Andhra-Dist-01,2023-07-01,WASH,3.55,0.815,0.724,0.449,8,0,1,317,15,54,130,118,95.1,0.01,33.2,OK
Andhra Pradesh,Andhra-Dist-01,2023-08-01,WASH,4.03,0.349,0.517,0.504,8,0,1,305,11,61,115,118,99.4,0.021,17.9,OK
Andhra Pradesh,Andhra-Dist-01,2023-09-01,Education,4.08,0.694,0.737,0.45,4,0,1,288,17,158,121,0,89.7,0.01,25.2,OK
Andhra Pradesh,Andhra-Dist-01,2023-11-01,Livelihoods,4.99,0.579,0.602,0.463,7,0,0,309,14,64,111,120,100.0,0.01,18.1,OK
Andhra Pradesh,Andhra-Dist-01,2023-12-01,WASH,5.91,0.649,0.724,0.455,8,0,0,314,17,53,118,126,100.0,0.01,29.9,OK
Andhra Pradesh,Andhra-Dist-01,2024-01-01,Livelihoods,5.84,0.884,0.747,0.417,5,0,0,307,18,61,115,113,100.0,0.01,43.5,OK
Andhra Pradesh,Andhra-Dist-01,2024-02-01,Livelihoods,4.63,0.618,0.681,0.569,8,0,0,346,18,67,134,127,100.0,0.01,21.8,OK
Andhra Pradesh,Andhra-Dist-01,2024-05-01,Education,5.84,0.677,0.911,0.576,5,1,0,302,13,152,110,27,100.0,0.01,34.0,OK
Andhra Pradesh,Andhra-Dist-01,2024-06-01,Livelihoods,5.09,0.76,0.665,0.481,6,0,1,344,18,60,134,132,100.0,0.01,23.7,OK
Andhra Pradesh,Andhra-Dist-01,2024-08-01,Education,4.41,0.737,0.87,0.453,5,0,1,312,17,157,112,26,95.2,0.01,40.6,OK
Andhra Pradesh,Andhra-Dist-01,2024-10-01,Skilling,6.55,0.837,0.804,0.598,6,0,0,307,20,53,121,113,100.0,0.01,35.1,OK
Andhra Pradesh,Andhra-Dist-01,2024-11-01,Livelihoods,4.73,0.89,0.653,0.511,4,0,0,297,12,61,121,103,100.0,0.01,45.1,OK
Andhra Pradesh,Andhra-Dist-01,2024-12-01,Skilling,5.75,0.626,0.815,0.623,6,0,0,277,12,54,108,103,100.0,0.01,25.7,OK
Andhra Pradesh,Andhra-Dist-01,2025-01-01,Livelihoods,6.64,1.0,0.756,0.438,5,0,0,299,17,60,128,94,100.0,0.01,55.7,OK
Andhra Pradesh,Andhra-Dist-01,2025-05-01,Livelihoods,5.48,0.828,0.806,0.475,9,1,0,318,20,61,130,107,100.0,0.01,47.9,OK
Andhra Pradesh,Andhra-Dist-01,2025-07-01,Skilling,3.43,0.499,0.781,0.567,6,0,1,293,11,42,108,132,85.8,0.01,28.1,OK
Andhra Pradesh,Andhra-Dist-01,2025-09-01,Livelihoods,5.57,0.743,0.763,0.51,4,0,1,303,12,58,96,137,100.0,0.01,41.9,OK
Andhra Pradesh,Andhra-Dist-02,2023-01-01,WASH,6.08,0.866,0.953,0.473,7,0,0,302,15,58,114,115,100.0,0.01,48.8,OK
