grant_id,theme,state,district,partner_id,partner_name,partner_type,hq_state,years_with_trust,prior_grants,start_date,end_date,months,budget_m_inr,n_tranches,need_index,rural_share,partner_capacity,disbursement_timeliness,on_time_reporting,budget_variance_pct,beneficiaries,cost_per_beneficiary_inr,outcome_index,risk_rating,data_quality_flag
G0001,WASH,Gujarat,Gujarat-Dist-07,PARTNER-128,Partner 128,Academic,Telangana,9,13,2021-01-01,2022-08-01,19,58.88,3,0.553,0.534,5,0.886,1.0,0.063,1380,42667,74.1,2,OK
G0002,Skilling,Rajasthan,Rajasthan-Dist-06,PARTNER-040,Partner 040,NGO,Maharashtra,10,14,2021-07-01,2022-05-01,10,34.63,3,0.718,0.459,4,0.839,0.923,0.145,982,35267,73.5,2,OK
G0003,Livelihoods,Bihar,Bihar-Dist-03,PARTNER-087,Partner 087,Academic,Madhya Pradesh,2,2,2022-02-01,2022-12-01,10,57.87,2,0.214,0.553,2,0.611,0.65,0.224,1053,54960,69.4,4,OK
G0004,WASH,Andhra Pradesh,Andhra-Dist-08,PARTNER-002,Partner 002,Academic,West Bengal,4,4,2022-09-01,2024-12-01,27,55.48,3,0.2,0.603,2,0.586,0.589,0.224,1203,46117,72.6,2,OK
G0005,Livelihoods,Madhya Pradesh,Madhya-Dist-17,PARTNER-045,Partner 045,NGO,Karnataka,7,8,2023-10-01,2024-07-01,9,66.89,3,0.828,0.542,4,0.792,0.769,0.029,1928,34691,74.1,2,OK
G0006,Livelihoods,Rajasthan,Rajasthan-Dist-07,PARTNER-112,Partner 112,NGO,Uttar Pradesh,0,0,2021-12-01,2022-11-01,11,39.28,3,0.842,0.687,2,0.564,0.648,0.083,1389,28276,75.6,4,OK
G0007,WASH,Tamil Nadu,Tamil-Dist-01,PARTNER-017,Partner 017,NGO,Tamil Nadu,8,7,2022-04-01,2023-11-01,19,39.04,4,0.721,0.533,3,0.676,0.876,0.079,951,41054,76.1,2,OK
G0008,Skilling,Chhattisgarh,Chhattisgarh-Dist-05,PARTNER-046,Partner 046,NGO,Tamil Nadu,4,4,2023-03-01,2024-02-01,11,45.3,2,0.36,0.726,3,0.696,0.855,0.094,1285,35254,61.3,2,OK
G0009,Skilling,Andhra Pradesh,Andhra-Dist-03,PARTNER-008,Partner 008,NGO,Jharkhand,1,1,2023-03-01,2024-01-01,10,32.31,2,0.2,0.872,4,0.782,0.852,0.021,926,34896,79.6,3,OK
G0010,Skilling,Bihar,Bihar-Dist-19,PARTNER-110,Partner 110,NGO,West Bengal,1,1,2023-03-01,2023-11-01,8,35.37,5,0.722,0.671,2,0.702,0.553,0.14,1104,32035,76.9,4,OK
G0011,WASH,Jharkhand,Jharkhand-Dist-06,PARTNER-116,Partner 116,Academic,Madhya Pradesh,5,7,2023-10-01,2026-01-01,27,33.51,3,0.442,0.633,5,0.943,0.914,-0.03,931,35993,86.4,1,OK
