project_id,month,site_visits,training_hours,template_use,standups_per_week,early_warning_active,issues_opened,severe_issues,resolution_time_days,reporting_lag_days,data_quality_score,audit_score,kpi_met
P0001,2024-01-01,5,8.6,1,3,0,5,0,4.5,1.5,1.0,88.3,1
P0001,2024-02-01,3,8.0,1,3,0,7,3,3.2,2.0,0.811,81.0,1
P0001,2024-03-01,5,5.7,1,3,0,5,2,2.2,1.0,0.954,79.0,1
P0001,2024-04-01,6,7.3,1,3,0,5,2,4.0,3.0,0.992,85.0,1
P0001,2024-05-01,5,8.3,1,3,0,6,3,4.8,1.3,0.903,84.3,1
P0001,2024-06-01,6,7.0,1,3,0,8,2,4.4,1.9,0.952,76.2,1
P0001,2024-07-01,3,7.2,1,3,0,4,1,4.4,0.8,0.787,85.1,1
P0001,2024-08-01,6,9.2,1,3,0,7,0,6.0,1.6,1.0,77.9,1
P0001,2024-09-01,6,4.4,1,3,0,8,3,3.5,1.5,0.882,73.7,1
P0001,2024-10-01,4,9.6,1,3,0,8,3,5.3,0.5,0.836,82.4,1
P0001,2024-11-01,3,8.7,1,3,0,4,1,2.6,2.5,0.877,86.7,1
P0001,2024-12-01,3,10.6,1,3,0,6,4,3.8,0.5,0.812,83.9,1
P0002,2024-01-01,3,5.3,0,3,1,4,0,4.6,3.3,0.978,78.4,1
P0002,2024-02-01,3,7.0,0,3,1,2,0,6.5,3.3,1.0,82.8,1
P0002,2024-03-01,6,4.9,0,3,1,6,0,5.7,3.4,1.0,82.4,1
P0002,2024-04-01,4,9.7,0,3,1,7,1,5.9,1.6,0.986,95.1,1
P0002,2024-05-01,4,6.0,0,3,1,8,3,8.4,3.6,0.918,76.2,1
P0002,2024-06-01,3,10.8,0,3,1,8,1,7.9,1.2,0.894,73.9,1
P0002,2024-07-01,3,5.5,0,3,1,5,2,6.6,2.1,0.796,80.6,1
P0002,2024-08-01,4,8.5,0,3,1,6,0,6.6,2.1,1.0,80.2,1
P0002,2024-09-01,5,8.6,0,3,1,5,0,6.9,1.6,1.0,85.5,1
